apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Naujamiesčio,1950 02 17,Vedęs,Nebuvo,"LR Seimas, Ekonomikos komiteto pirmininkas",Albertas ŠIMĖNAS,Vilnius ,"1972 - Vilniaus universitetas, ekonomistas-matematikas",Krepšinis,,Lietuvos krikščionių demokratų partija,,,Anglų,Nėra,Neturi
Lazdijų - Druskininkų,1950 01 07,Vedęs,Nebuvo,"Advokatų kontora ""A.Paulauskas ir partneriai"", advokatas",Egidijus ŽIČKUS,"D.Riešės k. , Vilniaus raj.","1975 - Vilniaus universitetas, teisininkas",Automobiliai,,Naujoji sąjunga (socialliberalai),,,Lenkų,Nėra,Neturi
Varėnos - Eišiškių,1956 11 06,Vedęs,Nebuvo,"Eišiškių seniūnija, seniūnas",Leonard TALMONT,"Eišiškės , Šalčininkų raj.","1979 - Lietuvos žemės ūkio universitetas, agronomija",Sportas,,Lietuvos lenkų rinkimų akcija,,,Rusų,Nėra,Neturi
Dzūkijos,1950 12 04,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys",Vidmantas ŽIEMELIS,Vilnius ,"1977 - VVU, Teisininkas",Literatūra,,Tėvynės liaudies partija,,,Anglų,Nėra,Neturi
Vilkaviškio,1946 09 13,Vedęs,Nebuvo,"TŪB ""Kratonas"", pirmininkas",Jonas ŠČEPONIS,"Kalvarija , Marijampolės raj.","1989 - Kauno žemės ūkio akademija, mokslinis agronomas;1968 - Kalvarijos maisto pramonės technikumas, grūdų perdirbimas",,,Naujoji sąjunga (socialliberalai),,,Rusų,Nėra,Neturi
Prienų,1935 12 08,Vedęs,Nebuvo,"Birštono savivaldybė, meras",Antanas Serafinas ZENKEVIČIUS,Birštonas ,"1985 - Lietuvos MA Ekonomikos institutas, ekonomika;1972 - Kauno politechnikos institutas, statyba;1961 - Vilniaus statybos technikumas, statyba",,,Lietuvos socialdemokratų partija,,,Anglų,Nėra,Neturi
Kauno kaimiškoji,1941 05 01,Vedęs,Nebuvo,"V. Žalnerausko firma ""Polaris""",Vladas ŽALNERAUSKAS,Kaunas ,"1970 - Kauno politechnikos institutas, Radiotechnika",Ryšys trumposiomis bangomis,,Lietuvos liberalų sąjunga,,,Anglų,Nėra,Neturi
Kauno - Kėdainių,1928 10 27,Vedęs,Nebuvo,"LR Seimas, Seimo narys",Vladas VILIMAS,"Mikalajūnų k. , Pakruojo raj.","1952 - Lietuvos žemės ūkio akademija, inžinierius mechanikas",,,Tėvynės sąjunga  (Lietuvos konservatoriai),,,Rusų,Nėra,Neturi
Šakių,1955 04 16,,Nebuvo,"UAB ""LŽŪB draudinas"", vadybininkas",Eduardas ZELBA,Kaunas ,"1979 - Lietuvos veterinarijos akademija, veterinarijos gydytojas",Grybavimas,,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",,,Anglų,Nėra,Neturi
Suvalkijos,1962 11 05,Vedęs,Nebuvo,"V.Žibūdos firma ""Larida"", savininkas",Virgilijus ŽIBŪDA,Marijampolė ,"1985 - Lietuvos žemės ūkio akademija, agronomas",Sportas,,Lietuvos centro sąjunga,,,Anglų,Nėra,Neturi
Jurbarko,1949 01 27,Ištekėjusi,Nebuvo,"Jurbarko rajono savivaldybė nuo 2000 08 28 d., projektų koordinatorė",Kristina VANČIENĖ,"Jurbarkas , Jurbarko raj.","VDU, persikvalifikavimo studijos, andragogika;1975 - Vilniaus valstybinis pedagoginis institutas, vokiečių kalbos mokytoja",Bendravimas su žmonėmis,,Nuosaikiųjų konservatorių sąjunga,,,Vokiečių,Nėra,Neturi
Ukmergės,1943 02 08,Vedęs,Nebuvo,"Ukmergės rajono Užulaukio km., ūkininkas",Julius VESELKA,Vilnius ,"1972 - Vilniaus Universitetas, Ekonomistas","Ekonominė, politinė analizė",,Išsikėlė pats,,,Vokiečių,Nėra,Neturi
Jonavos,1949 06 19,Vedęs,Nebuvo,"UAB ""Ave Matrox"", ūkio dalies darbuotojas",Algimantas ŽEROLIS,Kaunas ,"1973 - Kauno politechnikos institutas, statybos-santechnikos fakultetas",Automobilių sportas,,Lietuvos laisvės sąjunga,,,Vokiečių,Nėra,Neturi
Kaišiadorių - Elektrėnų,1944 11 18,Vedęs,Nebuvo,"Akcinė bendrovė ""Kaišiadorių statyba"", juristas",Vytautas VYČINAS,"Kaišiadorys , Kaišiadorių raj.","1984 - Vilniaus valstybinis universitetas, teisininkas;1968 - Ukmergės ŽŪ mechanizacijos technikumas, technikas mechanikas",Gamta,,Lietuvos centro sąjunga,,,Rusų,Nėra,Neturi
Trakų - Elektrėnų,1954 05 08,Ištekėjusi,Nebuvo,"Vilniaus Šeškinės pradinė mokykla, direktorės pavaduotoja ugdymui",Stasė ŽABIENĖ,"Elektrėnai , Trakų raj.","1988 - Šiaulių K.Preikšo pedagoginis institutas, Pradinių klasių mokytoja;1973 - Klaipėdos A.Venclovos ped. mokykla, Ikimokyklinis auklėjimas",Kelionės,,Nuosaikiųjų konservatorių sąjunga,,,Anglų,Nėra,Neturi
Vilniaus - Trakų,1954 07 07,Vedęs,Nebuvo,"Trakų rajono Paluknio vidurinė mokykla, direktorius",Jan ZACHAŽEVSKI,"Lentvaris , Trakų raj.","1977 - Vilniaus pedagoginis institutas, Fizikos mokytojas;1973 - Vilniaus pedagoginė mokykla, Prad. klasių mokyt.",Bitininkystė,,Lietuvos liberalų sąjunga,,,Anglų,Nėra,Neturi
Vilniaus - Šalčininkų,1966 06 01,Vedęs,Nebuvo,"UAB draudimo brokeris ""Vilniaus draudėjų garantas"", direktorius",Aleksandr TUGUŠI,Vilnius ,"1997 - Vilniaus Gedimino technikos universitetas, Statybos technologija ir menedžmentas",Muzika,,Nuosaikiųjų konservatorių sąjunga,,,Rusų,Nėra,Neturi
