apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Lietuvių tautininkų sąjunga,1962.10.27,Vedęs,Nebuvo,Žurnalistų ir leidėjų etikos komisijos pirmininkas,Gintaras SONGAILA,Vilnius,Aukštasis;Vilniaus universitetas;gydytojas,Istorija,"LIETUVA, Vilniaus miestas",Lietuvių tautininkų sąjunga,Lietuvis (-ė),,Anglų,Nėra,Neturi
Lazdijų - Druskininkų,1955.06.13,Vedęs,Nebuvo,"UAB ""Raminora"", sveikatos ir poilsio centras, ""SPA-VILNIUS"", direktoriaus pavaduotojas",Algimantas STONCELIS,"Druskininkų sav., Gailiūnų k.",Aukštasis;VVU MF;gydytojas,Grožinė literatūra,"LIETUVA, Vilnius",Išsikėlė pats,Lietuvis (-ė),,Vokiečių,Nėra,Neturi
Lietuvos lenkų rinkimų akcija,1956.11.06,Vedęs,Nebuvo,"Šalčininkų rajono savivaldybės administracija, Šalčininkų rajono meras",Leonard TALMONT,Eišiškės,Aukštasis;Lietuvos žemės ūkio universitetas;agronomija,Medžioklė,"LIETUVA, Eišiškės",Lietuvos lenkų rinkimų akcija,Lenkas (-ė),,Rusų,Nėra,Neturi
"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",1966.05.05,Vedęs,Nebuvo,"Alytaus raj. sav., meras",Algirdas VRUBLIAUSKAS,"Alytaus r. sav., Junonių k.",Aukštasis;Kauno TU magistras;vadybos mokslų magistr.;Aukštasis;Lietuvos veterinarijos akademija;veterinarijos gydytojas,Sportas,"LIETUVA, Lačionių k., Alytaus r.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Anglų,Nėra,Neturi
Liberalų demokratų partija,1946.08.01,Ištekėjusi,Nebuvo,"UAB ""Elektrifikacijos darbai, vadybininkas",Janina SENKIENĖ,Marijampolė,Aukštasis;Vilniaus valstybinis universitetas;ekonomistas;Aukštesnysis;Kauno technologijos technikumas;inžinierius chemikas,Kalnų turizmas,"Marijampolės r., Igliškėlių apyl., Ringovėlės k.",Liberalų demokratų partija,Lietuvis (-ė),,Anglų,Nėra,Neturi
Lietuvos laisvės sąjunga,1949.06.19,Vedęs,Nebuvo,"UAB ""Menotyra ir restauracija"", direktoriaus pavaduotojas",Algimantas ŽEROLIS,Kaunas,"Aukštasis;Kauno politechnikos institutas, statybos fak.;inžinierius-statybininkas",Aviacija,"LIETUVA, Kaunas",Lietuvos laisvės sąjunga,Lietuvis (-ė),,Vokiečių,Nėra,Neturi
Liberalų demokratų partija,1941.05.01,Vedęs,Nebuvo,"LR Seimas, Seimo narys",Vladas ŽALNERAUSKAS,Kaunas,Aspirantūra;Lietuvos žemės ūkio universitetas;Ekonomika;Aukštasis;Kauno technologijos universitetas;Radiotechnika,Ryšys trumposiomis bangomis,"LIETUVA, Kaunas",Liberalų demokratų partija,Lietuvis (-ė),,Anglų,Nėra,Neturi
Liberalų demokratų partija,1955.10.09,Našlys,Nebuvo,"UAB ""MELDIJA"", Vadybininkas",Vytautas VALAITIS,Kaunas,Aukštasis;VISI (Dabar - VGTU);autokelių. inž.,Kinas,"LIETUVA, Josvainiai, Kėdainių rajonas",Liberalų demokratų partija,Lietuvis (-ė),,Rusų,Nėra,Neturi
"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",1962.03.08,Vedęs,Nebuvo, ,Arvydas VIDŽIŪNAS,Vilnius,Aukštasis;Vilniaus universitetas Filologijos fakultetas;lietuvių kalba ir literatūra,Knygos,"LIETUVA, Valenčiūnų km., Šakių raj.","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,Rusų,Nėra,Neturi
Lietuvos krikščionys demokratai,1956.08.30,Vedęs,Nebuvo, ,Juozas VAIČIULIS,"Marijampolės sav., Svetlicos k.",Aukštasis;Lietuvos žemės ūkio universitetas;inžinierius-elektrikas,Kelionės,"LIETUVA, Marijampolės r., Svetlicos k.",Lietuvos krikščionys demokratai,Lietuvis (-ė),,Vokiečių,Nėra,Neturi
Krikščionių konservatorių socialinė sąjunga,1945.07.17,Vedęs,Nebuvo,"VŠĮ Jurbarko rajono psichikos sveikatos centras, direktorius, gydytojas psichiatras",Anzelmas VANČYS,Jurbarkas,Aukštasis;Kauno Medicinos institutas;gydytojas,,"LIETUVA, Jurbarko raj. Čepaičių km.",Krikščionių konservatorių socialinė sąjunga,Lietuvis (-ė),,Anglų,Nėra,Neturi
"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",1943.02.08,Vedęs,Nebuvo,"Lietuvos Seimas, ekonomikos komiteto narys",Julius VESELKA,Vilnius,Aukštasis;Vilniaus Universitetas;ekonomistas,Gamta,"LIETUVA, Siesikų miestelis, Ukmergės raj.","Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",Lietuvis (-ė),,Vokiečių,Nėra,Neturi
Liberalų demokratų partija,1977.03.03,Politika,Nebuvo,,Žygimantas ŽALNERAUSKAS,Jonava,,"Jonavos r. savivaldybės tarybos narys, sveikatos, ekologijos ir socialinių reikalų komiteto pirmininkas. Labdaros ir paramos fondo ""ZooEra"" steigėjas.","1999.12.23 teismo nuostrendžiu buvau pripažintas kaltu pagal LR BK 234 str. 1 d. Teistumas išnykęs, o šiuo metu byla perduota į Strasbūro EŽTT, kurios NR 30527/02 Ž. Žalnerauskas prieš Lietuvą. Laukiu teisingo ir pagrįsto sprengimo.",Liberalų demokratų partija,"LIETUVA, Kaunas",,,Yra,Neturi
Darbo partija,1953.04.28,Išsiskyręs,Nebuvo,"UAB ""Gudobelė"", pamainos meistras",Juozas URBANAVIČIUS,"Kaišiadorių r. sav., Stasiūnų k.",Aukštasis;Leningrado politologijos institutas;Politologas;Aukštasis;Lietuvos Ž.Ū. akademija;inžinierius-mechanikas;Specialus vidurinis;Ukmegės ŽŪM technikumas;technikas-mechanikas,Biologija,"LIETUVA, Kaišiadorys",Darbo partija,Lietuvis (-ė),,Vokiečių,Nėra,Neturi
Valstiečių ir Naujosios demokratijos partijų sąjunga,1949.12.03,Ištekėjusi,Nebuvo,"Vilniaus m. savivaldybės taryba, tarybos narė",Vitalė VINICKIENĖ,Vilnius,"Aukštasis;Kauno technologijos universitetas, Ekonomikos-vadybos fak.;Vadyba;Aukštasis;Vilniaus valst. V. Kapsuko universitetas, Medicinos fakultetas;Gydomoji medicina",Bendrauti su žmonėm,"LIETUVA, Šilalės raj. Dungerių k.",Valstiečių ir Naujosios demokratijos partijų sąjunga,Lietuvis (-ė),,Anglų,Nėra,Neturi
Darbo partija,1963.10.08,Vedęs,Nebuvo,"UAB ""Golbena"", direktoriaus pavaduotojas",Vladimiras VOLČIOK,"Trakų r. sav., Valų k.",Aukštasis;Vilniaus universitetas;Teisininkas,Kelionės,"LIETUVA, Grigiškės",Darbo partija, ,,Vokiečių,Nėra,Neturi
"Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",1962.03.15,Vedęs,Nebuvo,"Šalčininkų Lietuvos tūkstantmečio vidurinė mokykla, direktorius",Vidmantas ŽILIUS,Šalčininkai,Aukštasis;Vilniaus valstybinis pedagoginis institutas;matematikos mokytojas,Žūklė,"LIETUVA, Rietavas","Tėvynės sąjunga (konservatoriai, politiniai kaliniai ir tremtiniai, krikščioniškieji demokratai)",Lietuvis (-ė),,,Nėra,Neturi
Valstiečių ir Naujosios demokratijos partijų sąjunga,1939.03.10,Vedęs,Nebuvo,"Baltijos verslo vystymo agentūra, informacinio analitinio skyriaus vyr. specialistas, kompiuterinio tinklo administratorius",Olegas TURENKO,Vilnius,Aukštasis;Vilniaus inžinerinis statybos institutas;mašinų gamybos technologija,,"RUSIJA, Novosibirskas",Valstiečių ir Naujosios demokratijos partijų sąjunga,Rusas (-ė),,Anglų,Nėra,Neturi
Lietuvos lenkų rinkimų akcija,1965.03.03,Vedęs,Nebuvo,"Lietuvos Respublikos Seimas, Seimo narys",Valdemar TOMAŠEVSKI,Vilnius,Aukštasis;Vilniaus inžinerinis statybos institutas;inžinierius mechanikas,Sportas,"LIETUVA, Vilniaus r.",Lietuvos lenkų rinkimų akcija,Lenkas (-ė),,Rusų,Nėra,Neturi
