kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
Alfonsas ŠULCAS,2459.77,,346125.0,,,,14360.29
Vidmantas ŽIEMELIS,6736.32,,102203.0,,,,19607.12
Kazimieras PETRAITIS,0.0,,79328.0,,,,2166.72
Ona Anastazija VŽESNIAUSKIENĖ,1553.0,,49200.0,,,,3973.0
Lolita ŽILIUVIENĖ,1776.09,,79000.0,,,,4377.92
Kiprijonas Kastytis ŠARKAUSKAS,2820.6,,26800.0,,,,6191.4
Rafael MUKSINOV,4230.61,,63209.0,,,,9043.32
Paulius GIRČYS,9853.4,,10000.0,,,,13044.97
Oleg GLUCHOV,0.0,,41000.0,,,,0.0
Antanas ŠVITRA,7707.0,,133234.0,,,,41976.0
Benjaminas SAKALAUSKAS,10431.0,,153359.0,,,,19919.0
Rimantas ASTRAUSKAS,0.0,,4066.0,,,,0.0
Birutė VALIONYTĖ,7069.65,,96253.0,,,,13942.37
Janina TEPLIAJEVA,1416.27,,8702.0,,,,3695.71
Irena KAPAČINSKIENĖ,2140.22,,65692.0,,,,5074.54
Juozas TAMAŠAUSKAS,0.0,,0.0,,,,0.0
Egidijus ŽIČKUS,10985.41,,382014.0,,,,26989.15
Juozas ŠARKUS,33018.64,,1135843.0,,,,61729.32
Algirdas RIMGAILA,5441.0,,154278.0,,,,14129.0
Algina RAŽANSKIENĖ,4489.0,,62921.0,,,,9541.0
Algirdas RADVILA,3832.46,,138948.0,,,,24910.59
Jonas MATULEVIČIUS,2870.49,,136664.0,,,,6667.2
Irena DEGUTIENĖ,15712.64,,7196.0,,,,35919.36
Sigitas DAUGIRDA,1219.84,,170167.0,,,,3669.56
Vidmantas DAMBRAUSKAS,2369.0,,25005.0,,,,6531.0
Ula TEN,656.28,,0.0,,,,2343.72
Valentinas KAMINSKIS,0.0,,0.0,,,,729.0
Elegijus BUKAITIS,5284.66,,22500.0,,,,18943.49
Žigimantas GRIDZIUŠKA,0.0,,500.0,,,,0.0
Pavel PETRENKO,5838.19,,69740.0,,,,11925.8
Vaclovas KISELEVIČIUS,8811.0,,0.0,,,,19606.0
Vladimiras LAŠUKAS,2610.02,,12000.0,,,,6015.69
Oleg SOBOLEV,202.26,,26640.0,,,,1732.74
Vladimir LEVIN,24.9,,94700.0,,,,1772.1
Viktoras BITELIS,273.0,,0.0,,,,1662.0
Sigitas DOBILIAUSKAS,0.0,,143900.0,,,,0.0
Georgij VINŽANOV,696.21,,135350.0,,,,14611.88
Kazimieras KAVALIAUSKAS,505.08,,104464.0,,,,2074.92
Kristina KRULIENĖ,0.0,,16000.0,,,,1691.4
Jurijus SUBOTINAS,40.68,,80000.0,,,,1249.32
