kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Irena DEGUTIENĖ,,"43,85%",204,"39,61%",17,Gimnazijos  (Nr.459) apylinkė  
Neringa VENCKIENĖ,,"56,15%",277,"50,72%",6,Gimnazijos  (Nr.459) apylinkė  
Kristina MIŠKINIENĖ,,"62,60%",62,"61,19%",20,Varnėnų  (Nr.33) apylinkė  
Vaidas ŠALAŠEVIČIUS,,"37,40%",37,"36,57%",12,Varnėnų  (Nr.33) apylinkė  
Algis KAŠĖTA,,"88,22%",255,"85,38%",37,Senosios Varėnos  (Nr.39) apylinkė  
Zdzislav PALEVIČ,,"11,78%",35,"11,40%",4,Senosios Varėnos  (Nr.39) apylinkė  
Raimundas MARKAUSKAS,,"48,37%",142,"44,78%",21,Nemunaičio  (Nr.50) apylinkė  
Gediminas KRASAUSKAS,,"51,63%",136,"47,80%",38,Nemunaičio  (Nr.50) apylinkė  
Andrius PALIONIS,,"73,57%",164,"71,53%",42,Stakliškių  (Nr.34) apylinkė  
Alvydas VAICEKAUSKAS,,"26,43%",49,"25,69%",25,Stakliškių  (Nr.34) apylinkė  
Donatas JANKAUSKAS,,"58,44%",366,"53,59%",15,S. Lozoraičio  (Nr.53) apylinkė  
Audronė SKUČIENĖ,,"41,56%",262,"38,12%",9,S. Lozoraičio  (Nr.53) apylinkė  
Raminta POPOVIENĖ,,"59,08%",120,"54,86%",72,Muniškių  (Nr.54) apylinkė  
Vydas GEDVILAS,,"40,92%",105,"38,00%",28,Muniškių  (Nr.54) apylinkė  
Mindaugas BASTYS,,"88,46%",69,"88,46%",23,Slabadų  (Nr.43) apylinkė  
Algirdas KLIMAITIS,,"11,54%",5,"11,54%",7,Slabadų  (Nr.43) apylinkė  
Juozas OLEKAS,,"56,52%",53,"56,03%",12,Gavaltuvos  (Nr.41) apylinkė  
Algimanta PABEDINSKIENĖ,,"43,48%",42,"43,10%",8,Gavaltuvos  (Nr.41) apylinkė  
Bronius PAUŽA,,"64,37%",337,"60,73%",93,Naujamiesčio  (Nr.31) apylinkė  
Robertas Raimundas IŠGANAITIS,,"35,63%",204,"33,62%",34,Naujamiesčio  (Nr.31) apylinkė  
Julius VESELKA,,"51,72%",58,"50,42%",62,Žemaitkiemio  (Nr.40) apylinkė  
Loreta GRAUŽINIENĖ,,"48,28%",74,"47,06%",38,Žemaitkiemio  (Nr.40) apylinkė  
Rimantas SINKEVIČIUS,,"61,33%",293,"60,25%",48,Šveicarijos  (Nr.27) apylinkė  
Saulius JAKIMAVIČIUS,,"38,67%",187,"37,99%",28,Šveicarijos  (Nr.27) apylinkė  
Bronius BRADAUSKAS,,"58,82%",39,"56,00%",31,Liutonių  (Nr.31) apylinkė  
Stanislovas TOMAS,,"41,18%",33,"39,20%",16,Liutonių  (Nr.31) apylinkė  
Dangutė MIKUTIENĖ,,"21,43%",10,"21,18%",8,Bagdononių  (Nr.42) apylinkė  
Jonas LIESYS,,"78,57%",55,"77,65%",11,Bagdononių  (Nr.42) apylinkė  
Jaroslav NARKEVIČ,,"31,72%",138,"28,60%",13,Salininkų  (Nr.451) apylinkė  
Mingailė BINKAUSKAITĖ,,"68,28%",303,"61,55%",22,Salininkų  (Nr.451) apylinkė  
Rita TAMAŠUNIENĖ,,"69,73%",128,"62,76%",54,Kreivalaužių  (Nr.54) apylinkė  
Živilė PINSKUVIENĖ,,"30,27%",54,"27,24%",25,Kreivalaužių  (Nr.54) apylinkė  
Petras ČIMBARAS,,"79,78%",110,"78,07%",36,Skirlėnų  (Nr.47) apylinkė  
Valentinas STUNDYS,,"20,22%",25,"19,79%",12,Skirlėnų  (Nr.47) apylinkė  
Petras ČIMBARAS,,"77,97%",124,"75,10%",60,Sužionių  (Nr.45) apylinkė  
Valentinas STUNDYS,,"22,03%",22,"21,22%",30,Sužionių  (Nr.45) apylinkė  
Petras ČIMBARAS,,"88,66%",50,"87,76%",36,Padubingės  (Nr.25) apylinkė  
Valentinas STUNDYS,,"11,34%",7,"11,22%",4,Padubingės  (Nr.25) apylinkė  
Petras ČIMBARAS,,"86,75%",65,"83,97%",66,Karkažiškės  (Nr.24) apylinkė  
Valentinas STUNDYS,,"13,25%",14,"12,82%",6,Karkažiškės  (Nr.24) apylinkė  
Petras ČIMBARAS,,"57,62%",59,"57,24%",28,Verbiškių  (Nr.24) apylinkė  
Valentinas STUNDYS,,"42,38%",46,"42,11%",18,Verbiškių  (Nr.24) apylinkė  
Petras ČIMBARAS,,"87,14%",96,"85,92%",26,Prienų  (Nr.23) apylinkė  
Valentinas STUNDYS,,"12,86%",15,"12,68%",3,Prienų  (Nr.23) apylinkė  
Petras ČIMBARAS,,"57,58%",61,"57,58%",15,Vorėnų  (Nr.23) apylinkė  
Valentinas STUNDYS,,"42,42%",41,"42,42%",15,Vorėnų  (Nr.23) apylinkė  
