kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
Jurijus    SUBOTINAS,0.00,0.0,0.0,0.0,0.0,0.0,0.00
VYTAUTAS    ŠUSTAUSKAS,413.00,0.0,3600.0,0.0,0.0,0.0,6141.74
Rytis    ŠATKAUSKAS,38627.00,0.0,0.0,0.0,184843.0,376900.0,238251.97
Virginija    ZUZEVIČIENĖ,289.00,164539.0,430000.0,0.0,48410.0,0.0,92389.75
Andrius    AŠMONTAS,1706.00,5331.0,47511.0,0.0,0.0,0.0,16829.84
Giedrius    ŠARKANAS,375.00,0.0,3000.0,0.0,50000.0,0.0,2500.00
Agnė    ZUOKIENĖ,594.00,0.0,400000.0,0.0,0.0,27500.0,3300.00
Edmundas    MIELIULIS,4206.00,0.0,8000.0,0.0,0.0,0.0,28705.13
Petras    VAITIEKŪNAS,22219.00,0.0,194159.0,0.0,80206.0,1030.0,86292.28
Gintaras    ŠILEIKIS,15215.00,291.0,61289.0,0.0,352826.0,0.0,60225.76
Rolandas    BRAŽINSKAS,7874.00,0.0,774118.0,376442.0,210636.0,10720.0,165397.09
Daiva    TAMOŠIŪNAITĖ,18664.00,402559.0,1550000.0,0.0,43976.0,0.0,124818.65
Irena    NARKEVIČ,16312.00,0.0,50000.0,0.0,168002.0,16721.0,64316.32
Viktoras    MUNTIANAS,26366.00,0.0,27954.0,0.0,21157.0,2820.0,164914.70
Domininkas    VELIČKA,7121.00,0.0,525000.0,0.0,0.0,0.0,35718.37
Algirdas    ŠAKALYS,38964.00,0.0,143321.0,0.0,31440.0,10000.0,177138.19
Dmitrijus    MELNIČENKO,7328.00,0.0,20000.0,0.0,64672.0,0.0,30021.76
Rimantas    ABRAMAVIČIUS,3413.00,0.0,475000.0,0.0,0.0,0.0,16494.99
Stasys    BERESNEVIČIUS,16342.00,0.0,119089.0,0.0,56000.0,0.0,64366.84
Vilma    STANEVIČIENĖ,7197.00,0.0,6000.0,0.0,24000.0,0.0,31095.88
Pranas    VIČIULIS,20424.00,0.0,654520.0,0.0,70815.0,22750.0,79484.20
Vidmantas    ERMINAS,1077.00,0.0,37500.0,38000.0,3200.0,20000.0,7852.81
Jolanta    INDRIŪNIENĖ,0.00,0.0,54500.0,0.0,0.0,0.0,0.00
Artūras    SABECKIS,35978.00,0.0,1220660.0,0.0,60000.0,95959.0,189782.77
Nijolė Nelija    ASADAUSKIENĖ,13022.00,40000.0,250000.0,0.0,0.0,0.0,62748.84
Valdas    MEŠKĖNAS,1181.00,0.0,154375.0,0.0,220000.0,0.0,7786.15
Arūnas    URBONAS,10197.00,4000.0,265000.0,0.0,5000.0,0.0,41606.96
Žydrūnas    VILČINSKAS,5004.00,0.0,57750.0,0.0,10000.0,14577.0,22945.62
Jolanta    SKIRMANTIENĖ,8468.00,0.0,149975.0,0.0,6000.0,0.0,35393.18
Andrius    DOBROVOLSKIS,0.00,300000.0,92473.0,0.0,6212.0,9806.0,70472.00
Laima    GUDAVIČIENĖ,361.00,0.0,573000.0,0.0,45000.0,0.0,22915.20
Inga    VAITEKŪNAITĖ,6176.00,17975.0,214500.0,0.0,50000.0,0.0,26935.83
Romualdas    PADELSKAS,0.00,0.0,4259.0,0.0,0.0,0.0,200.00
Aimutis    TUMALAVIČIUS,4161.00,37131.0,630000.0,7100.0,60000.0,10000.0,18611.01
Arūnas    GRIKŠAS,37826.00,0.0,146866.0,92521.0,464576.0,456769.0,184323.31
Vytautas    PAUNKSNIS,357.00,0.0,0.0,0.0,0.0,0.0,3129.46
Antanas    MAKŠTUTIS,26284.00,0.0,200.0,0.0,385000.0,0.0,309739.28
Virgilijus    VAIČIULIS,13506.00,0.0,135400.0,0.0,46678.0,0.0,57701.51
Vaidotas    MATUTIS,12483.00,5278.0,42000.0,0.0,140000.0,0.0,52513.45
Jolanta    KAZLAUSKIENĖ,14119.00,0.0,103254.0,0.0,8364.0,0.0,56132.74
Nerijus    BAKASĖNAS,0.00,0.0,0.0,0.0,0.0,0.0,0.00
Romas    ATKOČAITIS,15278.00,0.0,106802.0,0.0,40757.0,24589.0,62807.86
Inga    KULYČIŪTĖ STULPINIENĖ,6201.00,29000.0,24000.0,0.0,70000.0,500.0,168708.86
Bronius    SIMANAVIČIUS,5253.00,0.0,52158.0,0.0,33693.0,0.0,23556.58
Veronika    ČIRVINSKIENĖ,8764.00,0.0,69930.0,0.0,55722.0,0.0,38632.08
Vaclovas    GUMULIAUSKIS,9334.00,0.0,1178697.0,0.0,273000.0,94500.0,48103.57
Jonas    ŽVIKEVIČIUS,1640.00,28000.0,111200.0,0.0,0.0,0.0,6568.11
Danutė    PRIŠMANTIENĖ,5922.00,14553.0,57500.0,0.0,37006.0,0.0,25771.86
Alfonsas    MOTUZAS,2031.00,0.0,9000.0,0.0,30000.0,0.0,14111.19
Laimantas    GAUČYS,2324.00,0.0,22000.0,0.0,0.0,0.0,12117.17
Valdas    ZUBINAS,834.00,8000.0,160000.0,0.0,0.0,0.0,292662.78
Egidijus    MENSEVIČIUS,6189.00,0.0,13800.0,0.0,95000.0,6160.0,27147.48
Andrejus    PABERALIS,9900.00,0.0,256950.0,18837.0,153805.0,0.0,39132.89
Algis    VAITKEVIČIUS,20968.00,25160.0,106000.0,0.0,0.0,0.0,81497.79
Šarūnas    NAVICKIS,1285.00,0.0,0.0,0.0,0.0,0.0,8500.00
Justas    MOTUŽIS,335.00,12500.0,29802.0,0.0,120636.0,0.0,2520.95
Petras    RAZBADAUSKAS,9384.00,0.0,31000.0,0.0,37495.0,0.0,38767.37
Judita    SIMONAVIČIENĖ,8171.00,0.0,37395.0,0.0,33178.0,0.0,34487.49
Juozas    MALIŠKA,0.00,0.0,17500.0,0.0,8070.0,0.0,0.00
Laima    MOCKEVIČIENĖ,4880.00,0.0,198490.0,0.0,6000.0,0.0,22020.09
Pranas    TRUKŠNYS,16704.00,0.0,100538.0,0.0,30000.0,0.0,65706.97
Edmundas    KRASAUSKAS,9147.00,0.0,26140.0,0.0,95000.0,0.0,36757.49
Viktor    ABAŠKIN,28448.00,29989.0,175557.0,0.0,13103.0,1800500.0,111348.77
Virginijus    KERAS,6022.00,31800.0,50900.0,0.0,81000.0,21000.0,27890.03
Lina    BARKUVIENĖ,1879.00,400000.0,1100000.0,0.0,0.0,0.0,10800.00
Daiva    BARKAUSKIENĖ,1358.00,0.0,65690.0,0.0,84735.0,0.0,6085.67
Romualdas    ANDRIKIS,9788.00,11288.0,52500.0,0.0,26069.0,0.0,40282.84
Gintaras    GRUŽAUSKAS,6819.00,100000.0,590000.0,0.0,37000.0,0.0,29798.52
Rimantas    ADOMAUSKAS,5873.00,0.0,23880.0,0.0,31000.0,39000.0,26790.21
Jonas    PURVANECKAS,59056.00,0.0,301423.0,0.0,90000.0,0.0,364356.41
Viktoras    BUGNEVIČIUS,8249.00,231566.0,170102.0,0.0,34348.0,0.0,34920.57
Stasys    NORVILAS,109.00,0.0,142000.0,0.0,32400.0,0.0,7386.93
Rimantas    ŽŪKAS,4189.00,1562262.0,320000.0,0.0,3323.0,415000.0,19660.00
Svajūnas    MACKEVIČIUS,2434.00,0.0,4000.0,0.0,0.0,0.0,14961.77
Kazimieras    DŽIAUKŠTAS,21978.00,0.0,11087.0,0.0,193491.0,0.0,88422.37
Eglija    VAITKEVIČĖ,4205.00,0.0,238100.0,50000.0,50000.0,0.0,20304.52
Antanas    DUMBRAUSKAS,24036.00,0.0,287000.0,0.0,4204.0,0.0,126088.41
Stasys    BAJERČIUS,7134.00,0.0,117625.0,0.0,0.0,0.0,30263.43
Denis    MICHALENKO,6081.00,4719.0,6800.0,0.0,14000.0,0.0,26361.85
Stepas    BAIRAŠAUSKAS,26722.00,0.0,68938.0,0.0,158510.0,0.0,102810.49
Petras    VAINORAS,28294.00,0.0,253307.0,30000.0,487755.0,755426.0,127914.44
Antanas    MARKUCKIS,6854.00,0.0,345000.0,0.0,12000.0,0.0,33685.51
Andrius    VANCEVIČIUS,15728.00,0.0,218200.0,0.0,48000.0,0.0,62089.68
Antanas    SEKRECKIS,12933.00,0.0,331018.0,0.0,270000.0,27188.0,52640.37
Vilma    VAIDOGIENĖ,5039.00,0.0,32873.0,0.0,0.0,0.0,22695.29
Zita    VALIAUSKIENĖ,13986.00,229501.0,93044.0,0.0,3015.0,0.0,55640.38
Alvydas    JONAITIS,17990.00,100000.0,302.0,100000.0,180000.0,9150.0,74684.60
Danielius    RUPŠYS,10875.00,410866.0,172120.0,0.0,66560.0,56182.0,44295.60
Valerijus    LEGATAS,31975.00,0.0,1338384.0,0.0,772925.0,60864.0,258167.16
Kęstutis    VARPIOTAS,11606.00,840.0,116500.0,0.0,1000.0,0.0,46825.77
Marijona    JANAVIČIENĖ,5741.00,0.0,37000.0,0.0,20000.0,0.0,24953.50
Petras    KAŽEMĖKAS,1025.00,0.0,84310.0,0.0,35000.0,0.0,7643.87
Nijolė    SKUČIENĖ,25679.00,78825.0,612446.0,0.0,139351.0,0.0,98656.01
Jurgis    MIKAILA,1069.00,0.0,190266.0,0.0,21000.0,0.0,7800.00
Gytas    MILAŠIUS,0.00,0.0,254900.0,0.0,4031.0,0.0,195037.00
Algirdas    VEPŠTAS,12321.00,57218.0,66045.0,0.0,473277.0,2520.0,216513.83
Genoveita    KRASAUSKIENĖ,1558.00,0.0,15089.0,0.0,95000.0,0.0,7546.30
Raimondas    RIBAČIAUSKAS,28350.00,0.0,1397400.0,0.0,116000.0,0.0,108839.29
Adelė    DIMŠIENĖ,21347.00,0.0,94340.0,0.0,49407.0,0.0,85345.24
Jadvyga    DZENCEVIČIENĖ,9733.00,20000.0,440000.0,39650.0,88408.0,0.0,41193.64
Laimutis    BRUNIUS,9185.00,0.0,35280.0,0.0,162600.0,0.0,39722.07
Zigmunt    ROMANOVSKIJ,18368.00,1245700.0,0.0,5352000.0,675000.0,1425000.0,72063.66
Valdas    PETRONIS,10352.00,411502.0,213719.0,0.0,48937.0,181964.0,51721.90
Arūnas    BEIŠYS,1726.00,0.0,301815.0,0.0,22727.0,0.0,29566.83
Vaclovas    ŠIMAITIS,3982.00,0.0,232615.0,0.0,90041.0,203925.0,17950.06
