kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Justinas KAROSAS,Lazdijų - Druskininkų (Nr.71) apygarda,61.07%,57,59.87%,34,Varnėnų (Nr.33) apylinkė
Algis BARANAUSKAS,Lazdijų - Druskininkų (Nr.71) apygarda,38.93%,38,38.16%,20,Varnėnų (Nr.33) apylinkė
Algis KAŠĖTA,Varėnos - Eišiškių (Nr.70) apygarda,60.62%,183,59.07%,71,Senosios Varėnos (Nr.39) apylinkė
Gediminas JAKAVONIS,Varėnos - Eišiškių (Nr.70) apygarda,39.38%,133,38.37%,32,Senosios Varėnos (Nr.39) apylinkė
Algirdas VRUBLIAUSKAS,Dzūkijos (Nr.69) apygarda,63.55%,126,61.63%,78,Nemunaičio (Nr.50) apylinkė
Arturas JUŠKAUSKAS,Dzūkijos (Nr.69) apygarda,36.45%,78,35.35%,39,Nemunaičio (Nr.50) apylinkė
Donatas JANKAUSKAS,Kauno kaimiškoji (Nr.66) apygarda,45.55%,80,44.62%,7,Linksmakalnio (Nr.47) apylinkė
Antanas MAKAREVIČIUS,Kauno kaimiškoji (Nr.66) apygarda,54.45%,99,53.33%,5,Linksmakalnio (Nr.47) apylinkė
Viktoras MUNTIANAS,Kauno - Kėdainių (Nr.65) apygarda,74.44%,109,74.03%,25,Vainikų (Nr.49) apylinkė
Petras MIKELIONIS,Kauno - Kėdainių (Nr.65) apygarda,25.56%,36,25.41%,10,Vainikų (Nr.49) apylinkė
Jonas RAMONAS,Šakių (Nr.64) apygarda,65.50%,275,63.36%,192,Kudirkos Naumiesčio (Nr.38) apylinkė
Arvydas VIDŽIŪNAS,Šakių (Nr.64) apygarda,34.50%,156,33.38%,90,Kudirkos Naumiesčio (Nr.38) apylinkė
Vytautas Sigitas DRAUGELIS,Suvalkijos (Nr.63) apygarda,64.71%,58,62.86%,8,Gavaltuvos (Nr.41) apylinkė
Juozas OLEKAS,Suvalkijos (Nr.63) apygarda,35.29%,33,34.29%,3,Gavaltuvos (Nr.41) apylinkė
Saulius LAPĖNAS,Jurbarko (Nr.62) apygarda,72.12%,523,70.16%,173,Naujamiesčio (Nr.31) apylinkė
Darius DRAGŪNAVIČIUS,Jurbarko (Nr.62) apygarda,27.88%,218,27.12%,51,Naujamiesčio (Nr.31) apylinkė
Julius VESELKA,Ukmergės (Nr.61) apygarda,46.41%,70,43.66%,85,Žemaitkiemio (Nr.40) apylinkė
Loreta GRAUŽINIENĖ,Ukmergės (Nr.61) apygarda,53.59%,90,50.42%,89,Žemaitkiemio (Nr.40) apylinkė
Juozas JARUŠEVIČIUS,Jonavos (Nr.60) apygarda,42.29%,189,41.94%,58,Šveicarijos (Nr.27) apylinkė
Rimantas SINKEVIČIUS,Jonavos (Nr.60) apygarda,57.71%,243,57.22%,94,Šveicarijos (Nr.27) apylinkė
Bronius BRADAUSKAS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,65.36%,47,64.10%,53,Liutonių (Nr.31) apylinkė
Juozas URBANAVIČIUS,Kaišiadorių - Elektrėnų (Nr.59) apygarda,34.64%,34,33.97%,19,Liutonių (Nr.31) apylinkė
Dangutė MIKUTIENĖ,Trakų - Elektrėnų (Nr.58) apygarda,44.57%,15,43.16%,26,Bagdononių (Nr.42) apylinkė
Leonard KLIMOVIČ,Trakų - Elektrėnų (Nr.58) apygarda,55.43%,39,53.68%,12,Bagdononių (Nr.42) apylinkė
Vladimiras VOLČIOK,Vilniaus - Trakų (Nr.57) apygarda,33.33%,1,25.00%, ,"Balsai, suskaičiuoti apygardos rinkimų komisijoje"
