apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Telšių (Nr.40) rinkimų apygarda,"11,26%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,146,18,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"19,44%",Tautos prisikėlimo partija,272,11,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"35,85%",Partija Tvarka ir teisingumas,496,26,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"6,80%",Lietuvos socialdemokratų partija,92,7,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"12,50%",Koalicija Darbo partija + jaunimas,169,13,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"2,95%",Lietuvos Respublikos liberalų sąjūdis,38,5,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,65%",Liberalų ir centro sąjunga,22,2,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,30%",Lietuvos valstiečių liaudininkų sąjunga,19,0,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"2,88%",Naujoji sąjunga (socialliberalai),40,2,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"2,20%","""Fronto"" partija",32,0,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,03%","Partija ""Jaunoji Lietuva""",15,0,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,89%",Pilietinės demokratijos partija,11,2,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,14%",Lietuvos rusų sąjunga,2,0,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,14%",Lietuvos socialdemokratų sąjunga,2,0,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,96%",Lietuvos centro partija,13,1,Lygumų (Nr.1) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"11,03%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,44,2,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"11,51%",Tautos prisikėlimo partija,47,1,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"33,57%",Partija Tvarka ir teisingumas,129,11,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"6,71%",Lietuvos socialdemokratų partija,26,2,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"16,07%",Koalicija Darbo partija + jaunimas,62,5,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"2,40%",Lietuvos Respublikos liberalų sąjūdis,8,2,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"3,12%",Liberalų ir centro sąjunga,12,1,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"5,28%",Lietuvos valstiečių liaudininkų sąjunga,21,1,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"3,12%",Naujoji sąjunga (socialliberalai),11,2,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"2,88%","""Fronto"" partija",12,0,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,44%","Partija ""Jaunoji Lietuva""",5,1,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,20%",Pilietinės demokratijos partija,4,1,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,24%",Lietuvos rusų sąjunga,1,0,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,20%",Lietuvos socialdemokratų sąjunga,5,0,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,24%",Lietuvos centro partija,1,0,Rainių (Nr.33) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"14,93%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,21,9,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"12,44%",Tautos prisikėlimo partija,25,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"28,86%",Partija Tvarka ir teisingumas,54,4,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"20,90%",Lietuvos socialdemokratų partija,25,17,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"6,97%",Koalicija Darbo partija + jaunimas,14,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"2,49%",Lietuvos Respublikos liberalų sąjūdis,5,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"3,48%",Liberalų ir centro sąjunga,6,1,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"6,97%",Lietuvos valstiečių liaudininkų sąjunga,8,6,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,00%",Naujoji sąjunga (socialliberalai),2,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,50%","""Fronto"" partija",1,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,00%","Partija ""Jaunoji Lietuva""",2,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,00%",Pilietinės demokratijos partija,0,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,00%",Lietuvos rusų sąjunga,0,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,50%",Lietuvos socialdemokratų sąjunga,1,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,00%",Lietuvos centro partija,0,0,Vembūtų (Nr.32) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"9,28%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,27,8,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"17,24%",Tautos prisikėlimo partija,64,1,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"24,67%",Partija Tvarka ir teisingumas,90,3,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"12,73%",Lietuvos socialdemokratų partija,45,3,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"15,92%",Koalicija Darbo partija + jaunimas,54,6,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"2,12%",Lietuvos Respublikos liberalų sąjūdis,6,2,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"5,57%",Liberalų ir centro sąjunga,18,3,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"6,90%",Lietuvos valstiečių liaudininkų sąjunga,23,3,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"2,39%",Naujoji sąjunga (socialliberalai),9,0,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,33%","""Fronto"" partija",5,0,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"1,33%","Partija ""Jaunoji Lietuva""",5,0,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,27%",Pilietinės demokratijos partija,1,0,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,00%",Lietuvos rusų sąjunga,0,0,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,27%",Lietuvos socialdemokratų sąjunga,1,0,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"0,00%",Lietuvos centro partija,0,0,Viešvėnų (Nr.31) rinkimų apylinkė
Telšių (Nr.40) rinkimų apygarda,"13,02%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,87,23,Ryškėnų (Nr.30) rinkimų apylinkė
