kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
NERINGA    VENCKIENĖ,12051.00,0.0,290221.0,0.0,125000.0,5000.0,85237.44
NADEŽDA    VIŠKELIENĖ,2824.00,0.0,7000.0,0.0,0.0,0.0,22491.51
VYGINTAS    VILUTIS,1011.00,0.0,3000.0,0.0,0.0,0.0,6742.86
VYTAUTAS    ZUBRAS,13601.00,0.0,135893.0,0.0,129965.0,0.0,111125.48
RIMVYDAS    ŽIEMYS,2274.00,0.0,73830.0,0.0,42873.0,0.0,20106.00
RIMA    ZABLACKIENĖ,0.00,0.0,93724.0,0.0,71690.0,0.0,4181.37
ALGIRDAS    ŽANDARAS,341.00,0.0,173238.0,0.0,37558.0,0.0,9054.75
DARIJUS    VENSKUS,4596.00,7073.0,6000.0,0.0,0.0,0.0,32333.96
ONA    VALIUKEVIČIŪTĖ,13450.00,0.0,7000.0,0.0,61235.0,0.0,89666.81
VYTAUTAS    ZIMINSKAS,0.00,0.0,164400.0,0.0,21000.0,0.0,0.00
GERDA    VILIMAITĖ,558.00,0.0,0.0,0.0,0.0,0.0,11158.00
JULIUS    VESELKA,12971.00,0.0,350405.0,0.0,169908.0,244720.0,167826.83
RŪTA    ZIENIENĖ,0.00,32704.0,100000.0,0.0,163000.0,0.0,2759.72
KĘSTUTIS    VAITUKAITIS,7459.00,0.0,167700.0,0.0,68893.0,6000.0,105869.86
RIMAS    URBUS,584.00,0.0,376000.0,0.0,0.0,0.0,10444.27
TOMAS    TOMILINAS,3851.00,263839.0,325000.0,0.0,0.0,0.0,42611.07
VIDMANTAS    ŽILIUS,9307.00,88500.0,172500.0,0.0,8020.0,0.0,68809.95
LEONARD    TALMONT,13224.00,0.0,178335.0,0.0,90000.0,0.0,99858.00
JANINA    ŠIMKUVIENĖ,3230.00,0.0,67615.0,0.0,0.0,0.0,24911.99
DARIUS    SKUSEVIČIUS,4163.00,17988.0,7000.0,0.0,27930.0,0.0,34327.65
EGLĖ    MANKEVIČIENĖ,3676.00,0.0,25384.0,0.0,40000.0,0.0,35244.30
RYŠARD    MACEIKIANEC,0.00,0.0,5551.0,0.0,2000.0,0.0,0.00
GINTARAS    KRAUJUTIS,17332.00,0.0,128519.0,0.0,21621.0,0.0,117349.95
ARŪNAS    JOKUBAUSKAS,463.00,0.0,100.0,0.0,0.0,0.0,10066.70
FRANC    JAKUBOVSKIJ,9847.00,0.0,300000.0,0.0,0.0,0.0,77721.46
