kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Audrius Butkevičius,Naujamiesčio (Nr. 1) apygardos,0.716,299,0.6938,59,Kauno (Nr. 18) apylinkė
Andrius Kubilius,Naujamiesčio (Nr. 1) apygardos,0.284,141,0.2752,1,Kauno (Nr. 18) apylinkė
Rimantas Smetona,Ukmergės (Nr. 61) apygardos,0.6171,184,0.56,40,Žemaitkiemio (Nr. 40) apylinkė
Sigitas Čirba,Ukmergės (Nr. 61) apygardos,0.3829,103,0.3475,36,Žemaitkiemio (Nr. 40) apylinkė
Jūratė Matekonienė,Jonavos (Nr. 60) apygardos,0.6247,198,0.6021,35,Šveicarijos (Nr. 27) apylinkė
Arvydas Stirna,Jonavos (Nr. 60) apygardos,0.3753,117,0.3618,23,Šveicarijos (Nr. 27) apylinkė
Saulius Pečeliūnas,Kaišiadorių-Elektrėnų (Nr. 59) apygardos,0.6573,81,0.6104,13,Mūro Strėvininkų (Nr. 30) apylinkė
Kęstutis Jakelis,Kaišiadorių-Elektrėnų (Nr. 59) apygardos,0.3427,31,0.3182,18,Mūro Strėvininkų (Nr. 30) apylinkė
Gabriel Jan Mincevič,Širvintų Vilniaus (Nr. 55) apygardos,0.7533,113,0.7386,0,Kreivalaužių (Nr. 54) apylinkė
Nijolė Ambrazaitytė,Širvintų Vilniaus (Nr. 55) apygardos,0.2467,37,0.2418,0,Kreivalaužių (Nr. 54) apylinkė
Kazimira Danutė Prunskienė,Molėtų Švenčionių (Nr. 54) apygardos,0.8721,176,0.8242,49,Pavoverės (Nr. 26) apylinkė
Albinas Jerašūnas,Molėtų Švenčionių (Nr. 54) apygardos,0.1279,29,0.1209,4,Pavoverės (Nr. 26) apylinkė
Kęstutis Trapikas,Ignalinos Švenčionių (Nr. 53) apygardos,0.4495,96,0.4135,33,Vidutinės (Nr. 29) apylinkė
Česlovas Juršėnas,Ignalinos Švenčionių (Nr. 53) apygardos,0.5505,116,0.5064,42,Vidutinės (Nr. 29) apylinkė
Petras Papovas,Zarasų-Visagino (Nr. 52) apygardos,0.6138,523,0.5946,46,Zarasų šiaurės (Nr. 24) apylinkė
Marytė Kontrimaitė,Zarasų-Visagino (Nr. 52) apygardos,0.3862,332,0.3741,26,Zarasų šiaurės (Nr. 24) apylinkė
Jonas Šimėnas,Utenos (Nr. 51) apygardos,0.5591,115,0.4826,79,Vyžuonėlių (Nr. 29) apylinkė
Saulius Šaltenis,Utenos (Nr. 51) apygardos,0.4409,120,0.3806,33,Vyžuonėlių (Nr. 29) apylinkė
Petras Antanas Šalčius,Rokiškio (Nr. 50) apygardos,0.4848,121,0.4776,7,Panemunėlio (Nr. 42) apylinkė
Vytautas Saulis,Rokiškio (Nr. 50) apygardos,0.5152,128,0.5075,8,Panemunėlio (Nr. 42) apylinkė
Rasa Rastauskienė,Anykščių Kupiškio (Nr. 49) apygardos,0.5717,294,0.5529,25,Viešintų (Nr. 37) apylinkė
Feliksas Kolosauskas,Anykščių Kupiškio (Nr. 49) apygardos,0.4283,230,0.4142,9,Viešintų (Nr. 37) apylinkė
Albinas Vaižmužis,Biržų Kupiškio (Nr. 48) apygardos,0.6111,402,0.5962,38,Vabalninko (Nr. 32) apylinkė
Saulius Kubiliūnas,Biržų Kupiškio (Nr. 48) apygardos,0.3889,249,0.3794,31,Vabalninko (Nr. 32) apylinkė
Antanas Matulas,Pasvalio Panevėžio (Nr. 47) apygardos,0.5222,82,0.4772,12,Skaistgirių (Nr. 44) apylinkė
Vytautas Einoris,Pasvalio Panevėžio (Nr. 47) apygardos,0.4778,81,0.4365,5,Skaistgirių (Nr. 44) apylinkė
Nikolaj Medvedev,Pakruojo Joniškio (Nr. 46) apygardos,0.2917,64,0.2846,6,Žvirblonių (Nr. 39) apylinkė
Alvydas Šedžius,Pakruojo Joniškio (Nr. 46) apygardos,0.7083,167,0.6911,3,Žvirblonių (Nr. 39) apylinkė
Ramūnas Karbauskis,Šiaulių kaimiškoji (Nr. 45) apygardos,0.5361,121,0.509,20,Žarėnų (Nr. 40) apylinkė
Vincas Girnius,Šiaulių kaimiškoji (Nr. 45) apygardos,0.4639,97,0.4404,25,Žarėnų (Nr. 40) apylinkė
Mindaugas Briedis,Radviliškio (Nr. 44) apygardos,0.4923,58,0.4604,6,Žeimių (Nr. 43) apylinkė
Antanas Kairys,Radviliškio (Nr. 44) apygardos,0.5077,63,0.4748,3,Žeimių (Nr. 43) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.7266,163,0.7132,31,Varnėnų (Nr. 33) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.2734,58,0.2684,15,Varnėnų (Nr. 33) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.5974,166,0.5616,21,Ricielių (Nr. 32) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.4026,108,0.3784,18,Ricielių (Nr. 32) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.4724,43,0.4348,17,Lipliūnų (Nr. 31) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.5276,49,0.4855,18,Lipliūnų (Nr. 31) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.4847,372,0.4605,24,Leipalingio (Nr. 30) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.5153,379,0.4895,42,Leipalingio (Nr. 30) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.5734,108,0.5656,17,Žagarių (Nr. 29) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.4266,70,0.4208,23,Žagarių (Nr. 29) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.5771,105,0.5504,26,Viktarinos (Nr. 28) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.4229,74,0.4034,22,Viktarinos (Nr. 28) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.6188,344,0.5731,44,Veisiejų (Nr. 27) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.3812,230,0.353,9,Veisiejų (Nr. 27) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.3023,47,0.2873,5,Verstaminų (Nr. 26) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.6977,108,0.663,12,Verstaminų (Nr. 26) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.5244,104,0.5043,14,Teizų (Nr. 25) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.4756,101,0.4573,6,Teizų (Nr. 25) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.3669,124,0.356,7,Šventežerio (Nr. 24) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.6331,198,0.6141,28,Šventežerio (Nr. 24) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.6387,217,0.6213,11,Šeštokų (Nr. 23) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.3613,120,0.3515,9,Šeštokų (Nr. 23) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.7178,110,0.7048,7,Stebulių (Nr. 22) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.2822,39,0.2771,7,Stebulių (Nr. 22) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.5406,322,0.5014,31,Seirijų (Nr. 21) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.4594,267,0.4261,33,Seirijų (Nr. 21) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.5101,71,0.4935,5,Seiliūnų (Nr. 20) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.4899,55,0.474,18,Seiliūnų (Nr. 20) apylinkė
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygardos,0.3909,79,0.3739,7,Rudaminos (Nr. 19) apylinkė
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygardos,0.6091,114,0.5826,20,Rudaminos (Nr. 19) apylinkė
