nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
"9,90%",Naujamiesčio (Nr.1) rinkimų apygarda,Darbo partija,848,2503
"11,83%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos socialdemokratų partija,934,3070
"26,84%",Naujamiesčio (Nr.1) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,3465,5618
"15,07%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,1719,3380
"9,90%",Naujamiesčio (Nr.1) rinkimų apygarda,„Drąsos kelias“ politinė partija,1827,1524
"3,44%",Naujamiesčio (Nr.1) rinkimų apygarda,Partija Tvarka ir teisingumas,369,796
"6,20%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,159,1940
"2,03%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos valstiečių ir žaliųjų sąjunga,260,426
"1,76%",Naujamiesčio (Nr.1) rinkimų apygarda,Liberalų ir centro sąjunga,180,415
"4,01%",Naujamiesčio (Nr.1) rinkimų apygarda,Politinė partija „Sąjunga Taip“,373,983
"2,22%",Naujamiesčio (Nr.1) rinkimų apygarda,Socialistinis liaudies Frontas,86,667
"0,74%",Naujamiesčio (Nr.1) rinkimų apygarda,Krikščionių partija,85,165
"1,31%",Naujamiesčio (Nr.1) rinkimų apygarda,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",162,281
"0,44%",Naujamiesčio (Nr.1) rinkimų apygarda,Partija „Jaunoji Lietuva“,65,84
"0,38%",Naujamiesčio (Nr.1) rinkimų apygarda,Demokratinė darbo ir vienybės partija,61,66
"0,93%",Naujamiesčio (Nr.1) rinkimų apygarda,Emigrantų partija,237,78
"0,27%",Naujamiesčio (Nr.1) rinkimų apygarda,Respublikonų partija,37,55
"0,19%",Naujamiesčio (Nr.1) rinkimų apygarda,Lietuvos žmonių partija,30,33
"17,39%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Darbo partija,515,3108
"29,36%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Lietuvos socialdemokratų partija,859,5256
"16,57%",Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,760,2691
