nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
0.2432,Naujamiesčio (Nr. 1),Lietuvos liberalų sąjunga,1349,5483
0.2426,Naujamiesčio (Nr. 1),A.Brazausko socialdemokratinė koalicija,1002,5813
0.1658,Naujamiesčio (Nr. 1),Naujoji sąjunga (socialliberalai),531,4127
0.1576,Naujamiesčio (Nr. 1),Tėvynės sąjunga  (Lietuvos konservatoriai),1689,2738
0.0324,Naujamiesčio (Nr. 1),Krikščionių demokratų sąjunga,252,657
0.0314,Naujamiesčio (Nr. 1),Lietuvos centro sąjunga,428,453
0.0298,Naujamiesčio (Nr. 1),Lietuvos krikščionių demokratų partija,508,330
0.0289,Naujamiesčio (Nr. 1),"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",66,747
0.0234,Naujamiesčio (Nr. 1),Lietuvos lenkų rinkimų akcija,67,590
0.0112,Naujamiesčio (Nr. 1),Nuosaikiųjų konservatorių sąjunga,61,253
0.0096,Naujamiesčio (Nr. 1),Lietuvių tautininkų sąjunga,105,164
0.0095,Naujamiesčio (Nr. 1),"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",111,157
0.0052,Naujamiesčio (Nr. 1),"Lietuvos partija ""Socialdemokratija 2000""",68,78
0.005,Naujamiesčio (Nr. 1),Lietuvos valstiečių partija,66,74
0.0045,Naujamiesčio (Nr. 1),Lietuvos laisvės sąjunga,89,37
0.3413,Lazdijų - Druskininkų (Nr. 71),A.Brazausko socialdemokratinė koalicija,350,7215
0.1995,Lazdijų - Druskininkų (Nr. 71),Naujoji sąjunga (socialliberalai),250,4172
0.1275,Lazdijų - Druskininkų (Nr. 71),Tėvynės sąjunga  (Lietuvos konservatoriai),304,2521
0.1135,Lazdijų - Druskininkų (Nr. 71),Lietuvos liberalų sąjunga,109,2407
0.0438,Lazdijų - Druskininkų (Nr. 71),Krikščionių demokratų sąjunga,78,892
0.043,Lazdijų - Druskininkų (Nr. 71),Lietuvos centro sąjunga,81,873
0.0353,Lazdijų - Druskininkų (Nr. 71),Lietuvos valstiečių partija,45,737
0.026,Lazdijų - Druskininkų (Nr. 71),Lietuvos krikščionių demokratų partija,89,487
0.0175,Lazdijų - Druskininkų (Nr. 71),Lietuvių tautininkų sąjunga,49,339
0.0169,Lazdijų - Druskininkų (Nr. 71),Lietuvos laisvės sąjunga,19,356
0.0138,Lazdijų - Druskininkų (Nr. 71),Nuosaikiųjų konservatorių sąjunga,28,278
0.0084,Lazdijų - Druskininkų (Nr. 71),"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",20,167
0.007,Lazdijų - Druskininkų (Nr. 71),"Lietuvos partija ""Socialdemokratija 2000""",17,138
0.0046,Lazdijų - Druskininkų (Nr. 71),"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",2,101
0.0018,Lazdijų - Druskininkų (Nr. 71),Lietuvos lenkų rinkimų akcija,2,39
0.3049,Varėnos - Eišiškių (Nr. 70),Naujoji sąjunga (socialliberalai),396,5666
0.2204,Varėnos - Eišiškių (Nr. 70),A.Brazausko socialdemokratinė koalicija,223,4160
0.0961,Varėnos - Eišiškių (Nr. 70),Lietuvos lenkų rinkimų akcija,310,1601
0.09,Varėnos - Eišiškių (Nr. 70),Lietuvos liberalų sąjunga,91,1698
0.0847,Varėnos - Eišiškių (Nr. 70),Lietuvos centro sąjunga,129,1556
0.0631,Varėnos - Eišiškių (Nr. 70),Tėvynės sąjunga  (Lietuvos konservatoriai),90,1164
0.0365,Varėnos - Eišiškių (Nr. 70),Lietuvos valstiečių partija,58,667
0.0307,Varėnos - Eišiškių (Nr. 70),Lietuvos krikščionių demokratų partija,60,550
