kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
Algimantas ŽEROLIS,,,105500.0,,,,1386.0
Vytautas PETKEVIČIUS,6210.0,0.0,438597.0,0.0,43405.0,2100.0,22167.0
Žana LEBEDEVA,1450.0,,,,15000.0,,88061.0
Nikolajus VOROBJOVAS,3153.0,,7000.0,,37000.0,,21764.0
Juozas ŠEŠKEVIČIUS,1030.0,,80000.0,,3000.0,,6431.0
Robert ŠIMANSKI,935.0,0.0,8500.0,0.0,43700.0,0.0,5792.0
Tomas TRUKŠINAS,2089.0,92625.0,107301.0,,,,9316.0
Antanas ZAPOLSKIS,2517.0,0.0,55000.0,0.0,42000.0,0.0,13569.0
Stasys PILIKAUSKAS,5106.0,,592461.0,,225000.0,,26735.0
Algis ŽVALIAUSKAS,19864.0,,368255.0,,220000.0,250.0,63384.0
Rimvydas Juozas VAITIEKŪNAS,5584.0,0.0,161800.0,0.0,56961.0,11996.0,20400.0
Andrej ŽABELOVIČ,7793.0,0.0,91400.0,0.0,40000.0,0.0,28564.0
Eugenijus GENTVILAS,18222.0,,219506.0,,,,142180.0
Pranas VIZGIRDA,,0.0,20000.0,0.0,0.0,0.0,2708.0
Giedrė SAKALAUSKAITĖ,884.0,0.0,0.0,0.0,0.0,0.0,2046.0
Milda MORKŪNIENĖ,,0.0,350000.0,0.0,0.0,0.0,3935.0
Algimantas STONCELIS,4158.0,,88695.0,,19390.0,,16434.0
Vladzė PRUNSKIENĖ,17029.0,,,,107680.0,,55083.0
Virginijus PLIUSKYS,2692.0,,34275.0,,25000.0,5174.0,8169.0
Artūras ORLAUSKAS,5706.0,,94368.0,21600.0,121593.0,,38538.0
Algis BARANAUSKAS,808.0,,7900.0,,18000.0,290000.0,4561.0
Raimundas ALEKNA,5314.0,135618.0,265000.0,0.0,5000.0,0.0,27118.0
Vladimir AUGUSTINOVIČ,,0.0,0.0,0.0,0.0,0.0,
Žydra KLEVINSKAITĖ,,0.0,0.0,0.0,0.0,0.0,
Rolandas SATKEVIČIUS,511.0,0.0,5500.0,0.0,10000.0,0.0,3224.0
Robertas ŠNEIDERIS,6170.0,0.0,0.0,0.0,0.0,0.0,28100.0
Ingrida BARTKUTĖ,3873.0,63760.0,70090.0,0.0,0.0,0.0,15639.0
Valis VIRŠILA,,,25755.0,,,1840.0,1537.0
Milda REMEIKYTĖ,814.0,0.0,0.0,0.0,0.0,0.0,4206.0
Kęstutis JUREVIČIUS,515.0,0.0,0.0,0.0,0.0,0.0,3301.0
Vytautas MEILŪNAS,,0.0,0.0,0.0,0.0,0.0,4000.0
Antanas SKYRIUS,0.0,,68975.0,,120000.0,,2620.0
Liuda PRIŠMONTIENĖ,488.0,0.0,134000.0,0.0,0.0,0.0,11000.0
Genovaitė Karolina MEILŪNIENĖ,827.0,0.0,471000.0,0.0,120000.0,24000.0,43294.0
Viačeslavas VOLOVOJUS,133.0,0.0,253892.0,0.0,0.0,0.0,618.0
Marjan ČERNIAVSKIJ,4618.0,13740.0,0.0,0.0,0.0,0.0,17473.0
Leonora ŽUKIENĖ,19978.0,26896.0,130900.0,0.0,10000.0,0.0,65106.0
Vilius MORKŪNAS,11226.0,0.0,350000.0,0.0,0.0,0.0,34400.0
Vilius VALYS,53.0,0.0,49649.0,0.0,50000.0,0.0,10366.0
Vidas GRIGALIONIS,1899.0,0.0,66400.0,0.0,0.0,0.0,9494.0
Saulius VAIKŠNORAS,,0.0,98000.0,0.0,0.0,0.0,88464.0
Rimvydas SLIŽAUSKAS,0.0,0.0,95000.0,0.0,0.0,0.0,0.0
Lilijana ASTRA,7647.0,0.0,0.0,0.0,0.0,0.0,22600.0
Viktorija Laima MINIOTIENĖ,,0.0,84478.0,0.0,0.0,0.0,5253.0
Vytautas PIPIRAS,832.0,,3900.0,,30000.0,17940.0,6000.0
Gintaras PLEVOKAS,4784.0,0.0,20247.0,0.0,0.0,0.0,18507.0
Margarita GRYBAUSKIENĖ,69.0,0.0,118900.0,0.0,74200.0,3349.0,2755.0
Nijolė GAIŽUTIENĖ,1375.0,0.0,32600.0,0.0,53450.0,0.0,21253.0
Regina ŠALTINIENĖ,,1900.0,22000.0,0.0,0.0,0.0,45431.0
